"Bin","BinRA","TopTaxonID","TopTaxonRAinBin","TopTaxon.kingdom","TopTaxon.phylum","TopTaxon.class","TopTaxon.order","TopTaxon.family","TopTaxon.genus","TopTaxon.species","TopTaxon.Confidence","kingdom.maxNamed","kingdom.maxNamed.Percent","phylum.maxNamed","phylum.maxNamed.Percent","class.maxNamed","class.maxNamed.Percent","order.maxNamed","order.maxNamed.Percent","family.maxNamed","family.maxNamed.Percent","genus.maxNamed","genus.maxNamed.Percent","species.maxNamed","species.maxNamed.Percent","Confidence.maxNamed","Confidence.maxNamed.Percent"
"Bin34",0.00567806414298326,"Zotu100",0.279247796365144,"Fungi","","","","","","","1.0000000","Fungi",1,"",0.590024607606946,"",0.621859898888986,"",0.655667455439092,"",0.655667455439092,"",0.655667455439092,"",0.655667455439092,"1.0000000",0.616516072468625
"Bin35",0.0063871189120103,"Zotu361",0.0871436621377331,"Fungi","_unidentified","_unidentified","_unidentified","_unidentified","_unidentified","_unidentified","0.7765571","Fungi",1,"",0.432313251279345,"",0.433756608801314,"",0.503305032287979,"",0.514847394734468,"",0.515375191415991,"",0.523618622428836,"1.0000000",0.432313251279345
"Bin36",0.00751761469034227,"Zotu119",0.176123555637387,"Fungi","_Ascomycota","_Dothideomycetes","_Pleosporales","_Sporormiaceae","_Sparticola","_Sparticola_junci","0.9951735","Fungi",1,"_Ascomycota",0.644233530061859,"",0.487373665111198,"",0.487373665111198,"",0.487373665111198,"",0.49086947994441,"",0.522886963715969,"1.0000000",0.352188379410612
"Bin37",0.0142002236224425,"Zotu81",0.141348406176336,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Nectriaceae","_Fusarium","_Fusarium_solani","0.9955022","Fungi",1,"_Ascomycota",0.951646936425764,"_Sordariomycetes",0.559908440876761,"_Hypocreales",0.395864057975678,"_Nectriaceae",0.290897444899161,"_Fusarium",0.288822193894652,"_Fusarium_solani",0.244397953384326,"0.9955022",0.141348406176336
"Bin38",0.0227754659629615,"Zotu32",0.157717141584252,"Fungi","_Ascomycota","_Eurotiomycetes","_Eurotiales","_Trichocomaceae","_Talaromyces","_Talaromyces_verruculosus","0.8496041","Fungi",1,"_Ascomycota",0.804264085054503,"_Eurotiomycetes",0.345000992725632,"_Eurotiales",0.344611769403327,"_Trichocomaceae",0.330881150362199,"",0.320408381535189,"",0.347554567708211,"1.0000000",0.197593314389715
"Bin39",0.0230936333531734,"Zotu43",0.134559106447449,"Fungi","_Ascomycota","_Dothideomycetes","_Pleosporales","_Didymellaceae","_Paraboeremia","_Paraboeremia_selaginellae","0.8767561","Fungi",1,"_Ascomycota",0.992290196371824,"_Dothideomycetes",0.992290196371824,"_Pleosporales",0.943720506246153,"_Didymellaceae",0.517801984828156,"_unidentified",0.259785802793101,"_unidentified",0.453516849641906,"0.8767561",0.134559106447449
"Bin40",0.0122151501139913,"Zotu92",0.126297799479081,"Fungi","_Ascomycota","_Dothideomycetes","_Pleosporales","_Lophiostomataceae","_unidentified","_unidentified","0.7943258","Fungi",1,"_Ascomycota",0.905623798297965,"_Dothideomycetes",0.903663838488176,"_Pleosporales",0.89773270343282,"_Phaeosphaeriaceae",0.274064546870599,"_Paraphoma",0.24107632180117,"_unidentified",0.341935483125079,"0.7943258",0.126297799479081
"Bin41",0.00744443504224306,"Zotu255",0.12785747060114,"Fungi","_Ascomycota","_Dothideomycetes","_Pleosporales","_Phaeosphaeriaceae","_Chaetosphaeronema","_unidentified","0.9999998","Fungi",1,"_Ascomycota",0.995194167919537,"_Dothideomycetes",0.762769075941733,"_Pleosporales",0.762769075941733,"_Phaeosphaeriaceae",0.678052806423963,"",0.339090018650484,"",0.376567831043925,"0.9999998",0.138199666164273
"Bin42",0.0147919870998387,"Zotu77",0.108999437886825,"Fungi","_Ascomycota","_Leotiomycetes","_Helotiales","_Myxotrichaceae","_Oidiodendron","_Oidiodendron_chlamydosporicum","0.9352834","Fungi",1,"_Ascomycota",0.999649896644785,"_Leotiomycetes",0.997112834067327,"_Helotiales",0.994863204172061,"_Myxotrichaceae",0.592380141634183,"_Oidiodendron",0.592380141634183,"_Oidiodendron_chlamydosporicum",0.399388168359195,"0.9352834",0.108999437886825
"Bin43",0.0126063536134676,"Zotu185",0.0840714862615397,"Fungi","_Ascomycota","_Sordariomycetes","_Coniochaetales","_Coniochaetaceae","_unidentified","_unidentified","0.9257148","Fungi",1,"_Ascomycota",0.976938145879462,"_Sordariomycetes",0.942729756718743,"_Coniochaetales",0.48262850955995,"_Coniochaetaceae",0.466983872035534,"",0.418097475001122,"",0.451239799351195,"0.9257148",0.0840714862615397
