"Method","samp1","samp2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","L1_H0","L12_H0",0.0476135547083166,0.0448645966879868,0.674299350295848,0.0432070216786455,0.190015476629203
"CbMPDiCbraya","L1_H0","L12_H1",0.0604221626984629,0.0699532026176153,0.703091710784342,0.0554680390483434,0.111064884851236
"CbMPDiCbraya","L1_H0","L12_H2",0.042533816169663,0.00167355349797035,0.614053260858159,0.0133502596353616,0.328389109838846
"CbMPDiCbraya","L1_H0","L12_H3",0.0423481385709751,0.0313567039143339,0.737157410296268,0.0389214662906859,0.150216280927737
"CbMPDiCbraya","L1_H0","L12_H4",0.0751346529732164,0.0555649164509413,0.715687287898857,0.00932937316254282,0.144283769514443
"CbMPDiCbraya","L1_H0","L12_H5",0.0419210769290006,0.0976628597521043,0.603560486232502,0.0102995386758076,0.246556038410586
"CbMPDiCbraya","L1_H0","L12_V1",0.0653777516969708,0,0.756075852829019,0.0429340101492813,0.135612385324729
"CbMPDiCbraya","L1_H0","L12_V2",0.0328630212211958,0.10067726975877,0.727994051467013,0.0220040211859216,0.116461636367099
"CbMPDiCbraya","L1_H0","L12_V3",0.0446093488973872,0.0815641432650809,0.57139264691595,0.0137071885200115,0.28872667240157
"CbMPDiCbraya","L1_H0","L12_V4",0.0618188612539908,0.132493615310298,0.555736053119938,0.0764154426091215,0.173536027706651
"CbMPDiCbraya","L1_H0","L12_V5",0.0450412060293441,0.0905804022407056,0.621062225546563,0.0130312093554947,0.230284956827893
"CbMPDiCbraya","L1_H0","L2_H0",0.164035357519446,0.124978124836793,0.511739914728242,0.020292425979557,0.178954176935961
"CbMPDiCbraya","L1_H0","L2_H1",0.0739483063584076,0.27368590247834,0.45009498287409,0.0145909568951802,0.187679851393982
"CbMPDiCbraya","L1_H0","L2_H2",0.0187081762805444,0.172142656313829,0.628149973642866,0.0178625444955794,0.163136649267181
"CbMPDiCbraya","L1_H0","L2_H3",0,0.112532259096085,0.686379771305375,0.0277898396800194,0.173298129918521
"CbMPDiCbraya","L1_H0","L2_H4",0.0336930559941576,0.556633165642677,0.139103474950063,0.0342107271497131,0.23635957626339
"CbMPDiCbraya","L1_H0","L2_H5",0.0432849201665019,0.262643263982674,0.481925687879103,0.0157361817520305,0.196409946219691
"CbMPDiCbraya","L1_H0","L2_V1",0.0633943993780455,0.322797667384711,0.396644438497992,0.0173044377699728,0.199859056969279
"CbMPDiCbraya","L1_H0","L2_V2",0.0975123504186453,0.342015389357506,0.289125515676477,0.0257837103183023,0.24556303422907
"CbMPDiCbraya","L1_H0","L2_V3",0.0617166417928616,0.333439726690784,0.390191936893264,0.0225642959849231,0.192087398638168
"CbMPDiCbraya","L1_H0","L2_V4",0.107532865960577,0.394754766841676,0.245281307410813,0.0296376879353621,0.222793371851572
"CbMPDiCbraya","L1_H0","L2_V5",0.00600958721691441,0.320905838675539,0.475240151117297,0.0102112576891771,0.187633165301073
"CbMPDiCbraya","L1_H0","L3_H0",0.00216990734289752,0.407879977663541,0.420781617734535,0.0122482574014199,0.156920239857607
"CbMPDiCbraya","L1_H0","L3_H1",0.00146238221745587,0.251607857018811,0.497188945842785,0.0117020936057742,0.238038721315174
"CbMPDiCbraya","L1_H0","L3_H2",0,0.323101882002189,0.451880551429523,0.026967430182496,0.198050136385793
"CbMPDiCbraya","L1_H0","L3_H3",0.000682769503316558,0.452159501333026,0.300987881731972,0.0143945922883565,0.231775255143329
"CbMPDiCbraya","L1_H0","L3_H4",0.00557374488268875,0.531922845444839,0.25479466719933,0.0134731407295845,0.194235601743558
"CbMPDiCbraya","L1_H0","L3_H5",0,0.411930754831481,0.293450226173237,0.0144031646053007,0.280215854389981
"CbMPDiCbraya","L1_H0","L3_V1",0,0.424205539628991,0.299050165282066,0.021552722521972,0.255191572566971
"CbMPDiCbraya","L1_H0","L3_V2",0.00203627266057646,0.355199733023901,0.420483935691561,0.0185431005669009,0.20373695805706
"CbMPDiCbraya","L1_H0","L3_V3",0.00227619364530568,0.416039286192889,0.317408462780768,0.020649717179227,0.24362634020181
"CbMPDiCbraya","L1_H0","L3_V4",0.00361400192065468,0.386440223780949,0.398629433811486,0.0217331378330798,0.18958320265383
"CbMPDiCbraya","L1_H0","L3_V5",0,0.462247603967003,0.348741057326902,0.0214583822239158,0.167552956482179
"CbMPDiCbraya","L1_H0","L4_H0",0.0451007822567401,0.289062654368426,0.447542050950936,0.0144937713581655,0.203800741065732
"CbMPDiCbraya","L1_H0","L4_H1",0.0342433378773118,0.327242113987615,0.416382533760043,0.0135095754145472,0.208622438960483
"CbMPDiCbraya","L1_H0","L4_H2",0.033406133786997,0.219188253091851,0.606754895823505,0.0240411838186999,0.116609533478947
"CbMPDiCbraya","L1_H0","L4_H3",0.0496449201954761,0.368923513475802,0.351638100468704,0.0251957136708336,0.204597752189184
"CbMPDiCbraya","L1_H0","L4_H4",0.0393780389241445,0.292397971057747,0.480087179989264,0.0125756643403226,0.175561145688523
