"ID","Bin","TaxonRelativeAbundance","kingdom","phylum","class","order","family","genus","species","Confidence"
"Zotu17706","Bin11",1.97516071385791e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9708961"
"Zotu8421","Bin11",8.68641115619101e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9603344"
"Zotu8117","Bin11",7.18162124982336e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9895589"
"Zotu8607","Bin11",4.11106596717703e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9810062"
"Zotu1249","Bin11",0.000171234294066064,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9562162"
"Zotu7793","Bin11",7.31515877777039e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9762733"
"Zotu5514","Bin11",1.5922531386736e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9727502"
"Zotu13575","Bin11",7.63945145730614e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9683543"
"Zotu4512","Bin11",2.91715689328729e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9060314"
"Zotu11115","Bin11",9.50131955010832e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9373744"
"Zotu3428","Bin11",3.00316392389942e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9237352"
"Zotu4949","Bin11",1.50741837267597e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9592837"
"Zotu4160","Bin11",2.21557718091051e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","","","","0.9795705"
"Zotu15946","Bin11",4.13852330833368e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.7228551"
"Zotu7594","Bin11",1.54599698877561e-05,"Fungi","_Ascomycota","","","","","","0.9997526"
"Zotu7386","Bin11",1.56391249988809e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.8745677"
"Zotu8740","Bin11",5.66057015732797e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9040994"
"Zotu13609","Bin11",4.02618421693539e-06,"Fungi","_Ascomycota","_Lecanoromycetes","_Peltigerales","_Pannariaceae","_Pectenia","_unidentified","0.7010528"
"Zotu5628","Bin11",1.08716864402069e-05,"Fungi","_Ascomycota","","","","","","0.9997891"
"Zotu8309","Bin11",6.69035194268563e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9335693"
