	kingdom	phylum	class	order	family	genus	species	Confidence
Zotu15485	Fungi							1
Zotu15486	Fungi	_Ascomycota	_Sordariomycetes	_Magnaporthales	_Magnaporthaceae			0.822239069
Zotu15487	Fungi							1
Zotu15488	Fungi							1
Zotu15489	Fungi	_Ascomycota	_Sordariomycetes					0.806584572
Zotu15490	Fungi	_Basidiomycota	_Agaricomycetes	_Sebacinales	_Sebacinaceae	_Sebacina	_unidentified	0.999766184
Zotu15491	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Psathyrellaceae	_Coprinopsis	_Coprinopsis_urticicola	0.865641668
Zotu15492	Fungi	_Ascomycota	_Eurotiomycetes	_Eurotiales	_Aspergillaceae	_Penicillium	_Penicillium_daejeonium	0.789721481
Zotu15493	Fungi							1
Zotu15494	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Herpotrichiellaceae	_unidentified	_unidentified	0.990962854
Zotu15495	Fungi							1
Zotu15496	Fungi							1
Zotu15497	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Inocybaceae	_Inocybe		0.998329064
Zotu15498	Fungi	_Basidiomycota	_Agaricomycetes	_Thelephorales	_Thelephoraceae	_Tomentella		0.922855378
Zotu15499	Fungi	_Ascomycota	_Dothideomycetes	_Capnodiales				0.998053033
Zotu15500	Fungi							1
Zotu15501	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales				0.895850702
Zotu15502	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.925906704
Zotu15503	Fungi	_Ascomycota	_Leotiomycetes	_Helotiales				0.998939532
Zotu15504	Fungi							1
Zotu15505	Fungi							1
Zotu15506	Fungi	_Ascomycota	_Sordariomycetes	_Pleurotheciales	_Pleurotheciaceae	_unidentified	_unidentified	0.996577855
Zotu15507	Fungi	_Rozellomycota	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.972117447
Zotu15508	Fungi	_Ascomycota	_Dothideomycetes	_Capnodiales	_Neodevriesiaceae	_Neodevriesia	_Neodevriesia_agapanthi	0.818362516
Zotu15509	Fungi							1
Zotu15510	Fungi							1
Zotu15511	Fungi							1
Zotu15512	Fungi	_Ascomycota	_Eurotiomycetes	_Verrucariales	_Verrucariaceae	_Verrucaria	_Verrucaria_muralis	0.909058984
Zotu15513	Fungi	_Basidiomycota	_Agaricomycetes	_Sebacinales	_Serendipitaceae	_Serendipita	_unidentified	0.982656194
Zotu15514	Fungi	_Basidiomycota						0.748596073
Zotu15515	Fungi							1
Zotu15516	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Herpotrichiellaceae			0.732166827
Zotu15517	Fungi	_Ascomycota	_Sordariomycetes	_Myrmecridiales	_Myrmecridiaceae	_Myrmecridium		0.999943033
Zotu15518	Fungi	_Glomeromycota	_Glomeromycetes	_Diversisporales	_unidentified	_unidentified	_unidentified	0.939460822
Zotu15519	Fungi							1
Zotu15520	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.738861708
Zotu15521	Fungi	_Ascomycota	_Sordariomycetes	_Diaporthales	_Gnomoniaceae	_Gnomonia	_Gnomonia_emarginata	0.999902852
Zotu15522	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Peniophoraceae	_Peniophora	_Peniophora_aurantiaca	0.707455661
Zotu15523	Fungi	_Basidiomycota	_Agaricomycetes	_Cantharellales	_Ceratobasidiaceae	_Thanatephorus	_Thanatephorus_cucumeris	0.989776024
Zotu15524	Fungi							1
Zotu15525	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_Archaeorhizomyces_borealis	0.990982502
Zotu15526	Fungi	_Basidiomycota	_Tremellomycetes	_Tremellales	_Tremellaceae	_Cryptococcus	_Cryptococcus_cuniculi	0.996415404
Zotu15527	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Phaeosphaeriaceae			0.993137455
Zotu15528	Fungi							1
Zotu15529	Fungi	_Ascomycota	_Dothideomycetes	_Acrospermales	_Acrospermales_fam_Incertae_sedis	_Leptodiscella	_unidentified	0.999998799
Zotu15530	Fungi							1
Zotu15531	Fungi							1
Zotu15532	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Phaeosphaeriaceae	_Wojnowiciella	_Wojnowiciella_leptocarpi	0.996402739
Zotu15533	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.749894575
Zotu15534	Fungi	_Basidiomycota	_Tremellomycetes	_Tremellales	_Bulleraceae	_Genolevuria	_Genolevuria_amylolytica	0.958989685
Zotu15535	Fungi	_Basidiomycota	_Agaricomycetes	_Thelephorales	_Thelephoraceae			0.997457142
Zotu15536	Fungi							1
Zotu15537	Fungi	_Ascomycota						0.843014222
Zotu15538	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.756292538
Zotu15539	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Nectriaceae			0.779182578
Zotu15540	Fungi	_Ascomycota	_Leotiomycetes	_Helotiales	_Helotiales_fam_Incertae_sedis	_Hyalodendriella	_Hyalodendriella_betulae	0.96340165
Zotu15541	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_unidentified	_unidentified	_unidentified	0.792215639
Zotu15542	Fungi	_Ascomycota	_Dothideomycetes	_Venturiales	_Sympoventuriaceae	_Scolecobasidium	_Scolecobasidium_constrictum	0.998654464
Zotu15543	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Herpotrichiellaceae	_Phialophora	_Phialophora_livistonae	0.999995709
Zotu15544	Fungi							1
Zotu15545	Fungi							1
Zotu15546	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.841573244
Zotu15547	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Chaetomiaceae	_Acrophialophora	_unidentified	0.973263824
Zotu15548	Fungi							1
Zotu15549	Fungi	_Glomeromycota	_Archaeosporomycetes	_Archaeosporales				0.99866109
Zotu15550	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Cyphellophoraceae	_Cyphellophora	_Cyphellophora_fusarioides	0.99979624
Zotu15551	Fungi	_Basidiomycota	_Agaricomycetes	_Thelephorales	_Thelephoraceae	_Tomentella	_Tomentella_papuae	0.901404121
Zotu15552	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Cephalothecaceae	_Phialemonium	_Phialemonium_atrogriseum	0.998646823
Zotu15553	Fungi							1
Zotu15554	Fungi							1
Zotu15555	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Agaricaceae	_Agaricus	_unidentified	0.874513442
Zotu15556	Fungi							1
Zotu15557	Fungi							1
Zotu15558	Fungi	_Chytridiomycota	_Spizellomycetes	_Spizellomycetales	_Powellomycetaceae	_Powellomyces	_unidentified	0.999999892
Zotu15559	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Lophiotremataceae	_Atrocalyx	_Atrocalyx_bambusae	0.941939014
Zotu15560	Fungi	_Basidiomycota	_Agaricomycetes	_Trechisporales	_Hydnodontaceae	_Trechispora	_Trechispora_invisitata	0.999999055
Zotu15561	Fungi							1
Zotu15562	Fungi							1
Zotu15563	Fungi							1
Zotu15564	Fungi	_Ascomycota	_Sordariomycetes	_Coniochaetales	_Coniochaetaceae	_Coniochaeta	_unidentified	0.992537039
Zotu15565	Fungi	_Basidiomycota	_Agaricomycetes					0.799934205
Zotu15566	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales				0.791746222
Zotu15567	Fungi	_Glomeromycota	_Glomeromycetes	_Diversisporales	_unidentified	_unidentified	_unidentified	0.999887896
Zotu15568	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.774155118
Zotu15569	Fungi	_Ascomycota						0.705881694
Zotu15570	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.883059766
