	kingdom	phylum	class	order	family	genus	species
Otu11042	Fungi						
Otu11043	Fungi						
Otu11044	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	Blumeria_graminis
Otu11045	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis	unidentified
Otu11046	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	unidentified	unidentified
Otu11047	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	unidentified
Otu11048	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus_biglobosus
Otu11049	Fungi						
Otu11050	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unidentified	unidentified	unidentified
Otu11051	Fungi						
Otu11052	Fungi						
Otu11053	Fungi						
Otu11054	Fungi	Basidiomycota	Agaricomycetes	Sebacinales			
Otu11055	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Elaphomycetaceae	unidentified	unidentified
Otu11056	Fungi						
Otu11057	Fungi	Ascomycota					
Otu11058	Fungi						
Otu11059	Fungi	Ascomycota	Sordariomycetes				
Otu11060	Fungi						
Otu11061	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	unidentified	unidentified
Otu11062	Fungi						
Otu11063	Fungi						
Otu11064	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	unidentified	unidentified	unidentified
Otu11065	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	Scutellinia_colensoi
Otu11066	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus	unidentified
Otu11067	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
Otu11068	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	unidentified	unidentified
Otu11069	Fungi						
Otu11070	Fungi						
Otu11071	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	unidentified
Otu11072	Fungi	Basidiomycota					
Otu11073	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
Otu11074	Fungi						
Otu11075	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
Otu11076	Fungi						
Otu11077	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia_tsunedae
Otu11078	Fungi	Ascomycota					
Otu11079	Fungi	Ascomycota					
Otu11080	Fungi						
Otu11081	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae		
Otu11082	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	
Otu11083	Fungi						
Otu11084	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Monosporascus	unidentified
Otu11085	Fungi	Rozellomycota	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11086	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	
Otu11087	Fungi						
Otu11088	Fungi	Chytridiomycota					
Otu11089	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypomyces	unidentified
Otu11090	Fungi	Basidiomycota					
Otu11091	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	unidentified	unidentified
Otu11092	Fungi						
Otu11093	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	unidentified
Otu11094	Fungi						
Otu11095	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11096	Fungi						
Otu11097	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11098	Fungi						
Otu11099	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia_tropicalis
Otu11100	Fungi						
Otu11101	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	unidentified
Otu11102	Fungi						
Otu11103	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
Otu11104	Fungi						
Otu11105	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe_hornana
Otu11106	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11107	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	unidentified
Otu11108	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	
Otu11109	Fungi						
Otu11110	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	Paraphaeosphaeria_angularis
Otu11111	Fungi						
Otu11112	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Murilentithecium	Murilentithecium_clematidis
Otu11113	Fungi						
Otu11114	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Microsporomycetaceae	unidentified	unidentified
Otu11115	Fungi						
Otu11116	Fungi	Rozellomycota	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11117	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11118	Fungi						
Otu11119	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
Otu11120	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11121	Fungi						
Otu11122	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
Otu11123	Fungi						
Otu11124	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_elongata
Otu11125	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11126	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11127	Fungi						
Otu11128	Fungi						
Otu11129	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11130	Fungi						
Otu11131	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
Otu11132	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unidentified	unidentified	unidentified
Otu11133	Fungi						
Otu11134	Fungi						
Otu11135	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unidentified	unidentified	unidentified
Otu11136	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Monocillium	Monocillium_indicum
Otu11137	Fungi	Basidiomycota	Agaricomycetes				
Otu11138	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_penicillioides
Otu11139	Fungi						
Otu11140	Fungi						
Otu11141	Fungi	Ascomycota					
Otu11142	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
Otu11143	Fungi						
Otu11144	Fungi						
Otu11145	Fungi						
Otu11146	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unidentified	unidentified	unidentified
Otu11147	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae		
Otu11148	Fungi						
Otu11149	Fungi						
Otu11150	Fungi						
Otu11151	Fungi						
Otu11152	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11153	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Polycephalomyces	
Otu11154	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11155	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11156	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Cystolepiota	Cystolepiota_seminuda
Otu11157	Fungi	Ascomycota	Orbiliomycetes	unidentified	unidentified	unidentified	unidentified
Otu11158	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11159	Fungi						
Otu11160	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11161	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_elongata
Otu11162	Fungi						
Otu11163	Fungi	Glomeromycota	Paraglomeromycetes	unidentified	unidentified	unidentified	unidentified
Otu11164	Fungi	Ascomycota	Sordariomycetes	Pleurotheciales	Pleurotheciaceae	Phaeoisaria	
Otu11165	Fungi	Ascomycota	Sordariomycetes	Pleurotheciales	Pleurotheciaceae	Pleurotheciella	Pleurotheciella_uniseptata
Otu11166	Fungi	Ascomycota					
Otu11167	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Pholiota	Pholiota_multicingulata
