"Method","GroupBasedOn","Group","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","Elevation","1090_vs_3655","0.0225837731840716","0.360142887768566","0.371203853184865","0.0357904591027527","0.210279026759745"
"CbMPDiCbraya","Elevation","1090_vs_3124","0.0234600981684656","0.370903740555126","0.360222667594216","0.0410749631079085","0.204338530574283"
"CbMPDiCbraya","Elevation","1090_vs_2629","0.0337724668195237","0.369181610871136","0.376586720617165","0.0482722348330411","0.172186966859135"
"CbMPDiCbraya","Elevation","1090_vs_2013","0.0832843904028366","0.261071364219588","0.444712657270598","0.0446719596003221","0.166259628506655"
"CbMPDiCbraya","Elevation","853_vs_4245","0.043409298671238","0.323649669627363","0.410984487212811","0.0415275820155495","0.180428962473039"
"CbMPDiCbraya","Elevation","853_vs_3900","0.0203808476873246","0.408481429405623","0.356490155695639","0.0446566832448238","0.16999088396659"
"CbMPDiCbraya","Elevation","853_vs_4420","0.0280515749687386","0.377405479666062","0.373684311779047","0.0371179858799693","0.183740647706183"
"CbMPDiCbraya","Elevation","853_vs_3814","0.0390984777409251","0.285044981544726","0.440969629183277","0.0372556087009177","0.197631302830154"
"CbMPDiCbraya","Elevation","853_vs_3655","0.0217529349758607","0.407084702125476","0.337414449645317","0.0335808778791985","0.200167035374148"
"CbMPDiCbraya","Elevation","853_vs_3124","0.0244073190302119","0.383722315533573","0.35819365294534","0.0317249675203096","0.201951744970565"
"CbMPDiCbraya","Elevation","853_vs_2629","0.0361648210002054","0.354703503745025","0.398545983196082","0.039326977041001","0.171258715017687"
"CbMPDiCbraya","Elevation","853_vs_2013","0.0534281325273024","0.38069431370121","0.36334611592445","0.0513599484505185","0.151171489396519"
"CbMPDiCbraya","Elevation","4245_vs_3900","0.0346879018773528","0.29959356234728","0.399149890399631","0.0402073490198496","0.226361296355886"
"CbMPDiCbraya","Elevation","4245_vs_4420","0.0218850245055441","0.393884038001909","0.293636487978095","0.0656903699280287","0.224904079586423"
"CbMPDiCbraya","Elevation","4245_vs_3814","0.0297737157360576","0.339119571295151","0.360812551832902","0.0696751247977262","0.200619036338163"
"CbMPDiCbraya","Elevation","4245_vs_3655","0.0343260441069912","0.352011972567359","0.344609504143327","0.047032346081347","0.222020133100976"
"CbMPDiCbraya","Elevation","4245_vs_3124","0.0281054023104503","0.378762065347021","0.318981092971805","0.0588333735742418","0.215318065796482"
"CbMPDiCbraya","Elevation","4245_vs_2629","0.043321116892853","0.322250440115401","0.371102515435899","0.0581965238569124","0.205129403698935"
"CbMPDiCbraya","Elevation","4245_vs_2013","0.0855590823047068","0.241217012899981","0.437170759756786","0.0474974655127608","0.188555679525766"
"CbMPDiCbraya","Elevation","3900_vs_4420","0.0188452224902878","0.383366845866986","0.30755964201753","0.0576587085458785","0.232569581079318"
"CbMPDiCbraya","Elevation","3900_vs_3814","0.0320049029021743","0.261702761675759","0.426818919887981","0.0329573426516981","0.246516072882387"
"CbMPDiCbraya","Elevation","3900_vs_3655","0.0141593604688969","0.389739619292985","0.322113442112986","0.0497194897300157","0.224268088395116"
"CbMPDiCbraya","Elevation","3900_vs_3124","0.0187595015592846","0.359411093202651","0.357895338016815","0.0409228343634811","0.223011232857768"
"CbMPDiCbraya","Elevation","3900_vs_2629","0.0307378485885161","0.321517012800219","0.382322665393202","0.0386534687897012","0.226769004428362"
"CbMPDiCbraya","Elevation","3900_vs_2013","0.0292629997510837","0.408389923147894","0.321326450026086","0.069673944410594","0.171346682664342"
"CbMPDiCbraya","Elevation","4420_vs_3814","0.0278119928739077","0.327843056602627","0.341392857385315","0.0620124638467589","0.240939629291392"
"CbMPDiCbraya","Elevation","4420_vs_3655","0.0175542619002981","0.405569366577331","0.261426711304995","0.0637631136948349","0.251686546522541"
"CbMPDiCbraya","Elevation","4420_vs_3124","0.0182709726920016","0.389714540202606","0.28879689444831","0.0538923290239198","0.249325263633163"
"CbMPDiCbraya","Elevation","4420_vs_2629","0.0372684246897001","0.346916526530689","0.330159134233263","0.0453359515453136","0.240319963001035"
"CbMPDiCbraya","Elevation","4420_vs_2013","0.0674003047436378","0.302870127524653","0.384328565149932","0.047945521040682","0.197455481541095"
"CbMPDiCbraya","Elevation","3814_vs_3655","0.0165349896491844","0.340587085063643","0.348439725603436","0.0603183192715553","0.234119880412181"
"CbMPDiCbraya","Elevation","3814_vs_3124","0.0184791540286325","0.350381496084328","0.338447997388696","0.0665657063141184","0.226125646184225"
"CbMPDiCbraya","Elevation","3814_vs_2629","0.0256672121641154","0.335102118107197","0.367512109853721","0.0689268814178704","0.202791678457096"
"CbMPDiCbraya","Elevation","3814_vs_2013","0.0804435947160958","0.213404549026888","0.454927403331863","0.0380925903956861","0.213131862529467"
"CbMPDiCbraya","Elevation","3655_vs_3124","0.0092050810234262","0.423331420832551","0.262058190198132","0.0692090972703402","0.23619621067555"
"CbMPDiCbraya","Elevation","3655_vs_2629","0.0215076113299191","0.385330685623678","0.31762708412271","0.0532734279143174","0.222261191009376"
"CbMPDiCbraya","Elevation","3655_vs_2013","0.0462144272573969","0.336114680045343","0.391140814215773","0.0466885821443738","0.179841496337113"
"CbMPDiCbraya","Elevation","3124_vs_2629","0.0206776508463767","0.383100138912947","0.316033676001107","0.0619502220722567","0.218238312167313"
"CbMPDiCbraya","Elevation","3124_vs_2013","0.0536113401294034","0.309970305864124","0.406706470944467","0.0392043428483252","0.190507540213681"
"CbMPDiCbraya","Elevation","2629_vs_2013","0.0575452920196362","0.27227210928066","0.447602605435126","0.0450511974855009","0.177528795779076"
