	kingdom	phylum	class	order	family	genus	species
Otu4143	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured bacterium	
Otu4144	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS 17		
Otu4145	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	SH-PL14	uncultured bacterium
Otu4146	Bacteria	Acidobacteria	Subgroup 6				
Otu4147	Bacteria	Acidobacteria	Subgroup 22	uncultured bacterium			
Otu4148	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae		
Otu4149	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	uncultured soil bacterium	
Otu4150	Bacteria	Armatimonadetes	uncultured	metagenome			
Otu4151	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium
Otu4152	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	uncultured		
Otu4153	Bacteria	Planctomycetes	Phycisphaerae	mle1-8	uncultured bacterium		
Otu4154	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	uncultured bacterium
Otu4155	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	Thermomicrobiaceae		
Otu4156	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	metagenome
Otu4157	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
Otu4158	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	wastewater metagenome
Otu4159	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 8	
Otu4160	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	
Otu4161	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured planctomycete	
Otu4162	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured Chloroflexi bacterium
Otu4163	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured	metagenome
Otu4164	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	uncultured bacterium
Otu4165	Bacteria	Rokubacteria	NC10	Rokubacteriales	uncultured bacterium		
Otu4166	Bacteria	Actinobacteria	Acidimicrobiia	uncultured	uncultured actinobacterium		
Otu4167	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured Chloroflexi bacterium
Otu4168	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Phaselicystidaceae	Phaselicystis	Ambiguous_taxa
Otu4169	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae		
Otu4170	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	
Otu4171	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	uncultured	uncultured Acidobacteria bacterium	
Otu4172	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	uncultured Armatimonadetes bacterium	
Otu4173	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
Otu4174	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured soil bacterium
Otu4175	Bacteria	FBP	Ambiguous_taxa				
Otu4176	Bacteria	Patescibacteria	Parcubacteria				
Otu4177	Bacteria	Planctomycetes	Pla4 lineage				
Otu4178	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	uncultured bacterium
Otu4179	Bacteria	Omnitrophicaeota					
Otu4180	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	
Otu4181	Bacteria	Planctomycetes	OM190	uncultured bacterium			
Otu4182	Bacteria	Patescibacteria	ABY1	Candidatus Magasanikbacteria	uncultured bacterium		
Otu4183	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae		
Otu4184	Bacteria	Chloroflexi	Ktedonobacteria	C0119			
Otu4185	Bacteria	Proteobacteria	Gammaproteobacteria				
Otu4186	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	uncultured	
Otu4187	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Otu4188	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9			
Otu4189	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	uncultured bacterium	
Otu4190	Bacteria	Acidobacteria	Subgroup 6				
Otu4191	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	
Otu4192	Bacteria	Patescibacteria	Gracilibacteria	Candidatus Abawacabacteria	uncultured bacterium		
Otu4193	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	
Otu4194	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9 marine group		
Otu4195	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	uncultured bacterium	
Otu4196	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales			
Otu4197	Bacteria	Chloroflexi	OLB14	uncultured bacterium			
Otu4198	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	
Otu4199	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	uncultured	uncultured Acidimicrobiaceae bacterium
Otu4200	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured		
Otu4201	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales	uncultured bacterium		
Otu4202	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula	bacterium WH5-6
Otu4203	Bacteria	Patescibacteria	Parcubacteria	uncultured bacterium			
Otu4204	Bacteria	FBP	uncultured bacterium				
Otu4205	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae		
Otu4206	Bacteria	Planctomycetes	OM190	uncultured bacterium			
Otu4207	Bacteria	Actinobacteria	MB-A2-108	uncultured Micromonospora sp.			
Otu4208	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	uncultured bacterium
Otu4209	Bacteria	Acidobacteria	Subgroup 6				
Otu4210	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter	uncultured bacterium
Otu4211	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae		
Otu4212	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	uncultured bacterium		
Otu4213	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	uncultured	uncultured proteobacterium
Otu4214	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Chroococcidiopsaceae	uncultured	
Otu4215	Bacteria	Chloroflexi	TK10	uncultured bacterium			
Otu4216	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20	metagenome	
Otu4217	Bacteria	Acidobacteria	Subgroup 6	uncultured Acidobacteria bacterium			
Otu4218	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20	uncultured bacterium	
Otu4219	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	
Otu4220	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
Otu4221	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	
Otu4222	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae		
Otu4223	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	uncultured soil bacterium		
Otu4224	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Ovatusbacter	uncultured bacterium
Otu4225	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	uncultured bacterium
Otu4226	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Ambiguous_taxa		
Otu4227	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	uncultured	uncultured bacterium	
Otu4228	Bacteria	Bacteroidetes	Ignavibacteria	OPB56	uncultured Chlorobi bacterium		
Otu4229	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella	
Otu4230	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidetes VC2.1 Bac22	metagenome		
Otu4231	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae		
Otu4232	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured bacterium	
Otu4233	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae		
Otu4234	Bacteria	Chloroflexi	JG30-KF-CM66	uncultured bacterium			
Otu4235	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	uncultured Planctomycetales bacterium
Otu4236	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	
Otu4237	Bacteria	Bacteroidetes	Ignavibacteria	SJA-28			
Otu4238	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa	uncultured bacterium
Otu4239	Bacteria	Zixibacteria	Ambiguous_taxa				
Otu4240	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	bacterium enrichment culture clone auto84_4W
Otu4241	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	uncultured bacterium
Otu4242	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	metagenome
Otu4243	Bacteria	Patescibacteria	Parcubacteria	uncultured bacterium			
Otu4244	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales			
Otu4245	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured planctomycete	
Otu4246	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae		
Otu4247	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS 17	metagenome	
Otu4248	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4 lineage	
Otu4249	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	CPla-3 termite group	metagenome	
Otu4250	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Anaeromyxobacter	
Otu4251	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	uncultured bacterium
Otu4252	Bacteria	Gemmatimonadetes	S0134 terrestrial group	uncultured bacterium			
Otu4253	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	uncultured bacterium
Otu4254	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	uncultured Acetobacteraceae bacterium
Otu4255	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	uncultured bacterium
Otu4256	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	metagenome	
