"Method","samp1","samp2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","L1_H0","L11_H2",0.00871501679264069,0.319197967562942,0.374610494290268,0.0461290638557733,0.251347457498376
"CbMPDiCbraya","L1_H0","L11_H3",0.0257972548024218,0.347590026881705,0.348999272402025,0.0332886340286626,0.244324811885186
"CbMPDiCbraya","L1_H0","L11_H4",0.0116621528655689,0.320783282679673,0.401821354645338,0.0542974122349882,0.211435797574431
"CbMPDiCbraya","L1_H0","L11_H5",0.0159753461206553,0.281067729885742,0.444938893719098,0.038500670248929,0.219517360025575
"CbMPDiCbraya","L1_H0","L11_V1",0.0138349059980194,0.312144924669152,0.415200477711975,0.0471412647103012,0.211678426910553
"CbMPDiCbraya","L1_H0","L11_V2",0.0214304206076954,0.309993108093218,0.40673242768416,0.0309530416523735,0.230891001962554
"CbMPDiCbraya","L1_H0","L11_V3",0.021747302643401,0.352556994988124,0.354670681855352,0.0477437564996725,0.22328126401345
"CbMPDiCbraya","L1_H0","L11_V4",0.0425850595868726,0.384450706643709,0.305751966503967,0.061147755038411,0.206064512227041
"CbMPDiCbraya","L1_H0","L11_V5",0.0139934260902114,0.320705349961826,0.373375860693637,0.0449581967183589,0.246967166535967
"CbMPDiCbraya","L1_H0","L12_H0",0.0159812914034132,0.398036688675758,0.336569234862439,0.0361881368575151,0.213224648200875
"CbMPDiCbraya","L1_H0","L12_H1",0.0118478184599085,0.332867707217271,0.382391018585027,0.0358665649947853,0.237026890743008
"CbMPDiCbraya","L1_H0","L12_H2",0.0104160523095904,0.348130816584074,0.404920474754275,0.0278239830251933,0.208708673326867
"CbMPDiCbraya","L1_H0","L12_H3",0.0273520876856023,0.386163160407737,0.330062360611222,0.0234126400079911,0.233009751287448
"CbMPDiCbraya","L1_H0","L12_H4",0.0178874875272062,0.345346294009143,0.361247107323852,0.0377295943096062,0.237789516830193
"CbMPDiCbraya","L1_H0","L12_H5",0.018953635650784,0.372658461000665,0.349978221477785,0.0289215514876208,0.229488130383146
"CbMPDiCbraya","L1_H0","L12_V1",0.0190078687727674,0.386120746411381,0.306482579165414,0.0332489609511176,0.25513984469932
"CbMPDiCbraya","L1_H0","L12_V2",0.0257412860392906,0.336138299314985,0.370215041420267,0.0325466838534643,0.235358689371993
"CbMPDiCbraya","L1_H0","L12_V3",0.0162378093291495,0.342061001989521,0.3978628765452,0.0327734164876015,0.211064895648528
"CbMPDiCbraya","L1_H0","L12_V4",0.0102933956870036,0.392312025337546,0.324405603735008,0.0382387657505941,0.234750209489849
"CbMPDiCbraya","L1_H0","L12_V5",0.013717287337844,0.367780504425259,0.358754995517084,0.041896951659907,0.217850261059906
"CbMPDiCbraya","L1_H0","L2_H0",0.014519831372272,0.386944018934373,0.328398823485603,0.074659444802281,0.195477881405471
"CbMPDiCbraya","L1_H0","L2_H1",0.0180190243249109,0.36332318003733,0.348618495836806,0.0680777348552283,0.201961564945725
"CbMPDiCbraya","L1_H0","L2_H2",0.01101662961451,0.340833294662372,0.367014602354396,0.0718665658178287,0.209268907550894
"CbMPDiCbraya","L1_H0","L2_H3",0.00755755097232269,0.370469297589944,0.332785512458497,0.0900294418635938,0.199158197115642
"CbMPDiCbraya","L1_H0","L2_H4",0.00954784008979429,0.36868311053548,0.357951708934437,0.0655308413361753,0.198286499104114
"CbMPDiCbraya","L1_H0","L2_H5",0.00624905496030176,0.360990348699933,0.372259217620167,0.0659865918713968,0.194514786848202
"CbMPDiCbraya","L1_H0","L2_V1",0.0201908101806938,0.37813076434797,0.307243763172599,0.0752488809857606,0.219185781312977
"CbMPDiCbraya","L1_H0","L2_V2",0.0220571141177016,0.358432601605978,0.355524473676867,0.0622515457352494,0.201734264864205
"CbMPDiCbraya","L1_H0","L2_V3",0.0251730362768357,0.380577123612766,0.293023519612297,0.0701624656469912,0.23106385485111
"CbMPDiCbraya","L1_H0","L2_V4",0.00934661962881552,0.406965216268952,0.281300235410152,0.0729221812525741,0.229465747439506
"CbMPDiCbraya","L1_H0","L2_V5",0.00957203556978647,0.370916431870948,0.325797770177439,0.0803350440872604,0.213378718294566
"CbMPDiCbraya","L1_H0","L3_H0",0.00991524331778239,0.348503676765881,0.344459233192689,0.0372423628606949,0.259879483862953
"CbMPDiCbraya","L1_H0","L3_H1",0.0139929131917035,0.355957371394019,0.347154432199168,0.0436809453194956,0.239214337895613
"CbMPDiCbraya","L1_H0","L3_H2",0.0130728620195163,0.343396770416553,0.350205930937379,0.0399947011794909,0.253329735447061
